date,value
1,400
2,702
3,500
4,64
5,23
6,62
7,49
8,3217
9,3217
10,3217
11,3217
12,3217
13,3217
14,3217
15,3217
16,3217
17,3217
18,355
19,9
20,1
21,810
22,439
23,439
24,3217
25,3217
26,3217
27,3217
28,3217
29,3217
30,438
31,140
32,478
33,548
34,4
35,408
36,385
37,401
38,387
39,384
40,5908
41,2968
42,1512
43,645
44,3216
45,3506
46,394
47,5164
48,5904
49,970
50,756
51,3217
52,3217
53,3217
54,3217
55,3217
56,050
57,121
58,5
59,710
60,728
61,256
62,79
63,352
64,68
65,26
66,103
67,86
68,48
69,44
70,230
71,40
72,19
73,112
74,46
75,60
76,41
77,3217
78,3217
79,3217
80,3217
81,3217
82,548
83,292
84,50
85,546
86,45
87,562
88,252
89,104
90,855
91,59
92,69
93,170
94,110
95,184
96,342
97,106
98,274
99,171
100,150
101,160
102,261
103,246
104,112
105,121
