date,value
1,1
2,1
3,7
4,2
5,201
6,25
7,1
8,50
9,14
10,100
11,165
12,000
13,645
14,83
15,10
16,500
17,13
18,116
19,5
20,800
21,2
22,1
23,350
24,403
25,000
26,000
27,8
28,000
29,800
30,1
31,50
32,790
33,1000
34,2000
35,600
36,821
37,5
38,830
39,955
40,1400
41,1000
42,245
43,885
44,705
45,200
46,100
47,30
48,100
49,25
50,000
51,000
52,300
53,1000
54,8
55,1000
56,1000
57,14
58,2343
59,45
60,50
61,150
62,25
63,60
64,10
65,20
66,160
67,4
68,1
69,2
70,1
71,335
72,402
73,350
74,645
75,4
76,9
77,25
78,1
79,200
80,100
81,200
82,100
83,201
84,500
85,3000
86,1000
87,1200
