date,value
1,24
2,500
3,9
4,14
5,5
6,24
7,4
8,62
9,3
10,1
11,7
12,2
13,64
14,32
15,0
16,13
17,6
18,52
19,67
20,8
21,54
22,44
23,1
24,3
25,4
26,18
27,15
28,1
29,9
30,14
31,5
32,24
33,4
34,62
35,3
36,1
37,7
38,2
39,64
40,32
41,0
42,13
43,6
44,52
45,67
46,8
47,500
48,500
49,7
50,6
51,0
52,1
53,7
54,0
55,6
56,2
57,4
58,4
59,272
60,2523
61,4
62,16
63,256
64,500
65,400
66,233
67,113
68,1
69,2
70,32
71,40
72,97
73,5
74,20
75,1
76,1
77,9
78,2
79,2
80,4
81,27
82,30
83,4
84,9
85,2
86,7
87,0
88,6
89,2
90,5
91,500
92,3
