date,value
1,4
2,4
3,4
4,16
5,30
6,60
7,90
8,14
9,60
10,7
11,30
12,1000
13,3
14,7
15,30
16,2
17,40
18,15
19,14
20,21
21,12
22,17
23,30
24,7
25,13
26,30
27,364
28,3
29,364
30,5
31,3
32,2
33,364
34,7
35,16
36,30
37,7
38,20
39,24
40,26
41,3
42,2
43,7
44,16
45,116
46,13
47,90
48,165
49,22
50,17
51,30
52,3
53,8
54,16
55,5
56,10
57,15
58,365
59,14
60,11
61,17
62,18
63,5
64,7
65,4
66,7
67,20
68,53
69,15
70,150
71,200
72,10
73,17
74,125
75,60
76,7
77,180
78,60
79,30
80,364
81,8
82,364
83,69
84,7
85,6
86,364
87,90
88,3
89,2
90,12
91,111
92,11
93,4
94,36
95,24
96,16
97,16
98,60
99,7
100,14
101,500
102,800
103,66
104,180
105,30
106,7
107,2
108,3
109,165
110,14
111,8
112,5
113,7
114,90
115,90
116,19
117,56
118,7
119,5
120,3
121,56
122,7
123,10
124,365
125,30
126,24
127,26
128,7
129,4
130,294
131,24
132,35
133,46
134,44
135,215
136,24
137,224
138,10
139,5
140,15
141,84
142,90
143,14
144,60
145,7
146,30
147,30
148,13
149,14
150,30
151,120
152,10
153,90
154,30
155,10
156,16
157,15
158,63
159,4
160,100
161,364
162,14
163,16
164,364
165,364
166,3
167,3
168,119
169,3
170,11
171,15
172,16
173,11
174,14
175,30
176,14
177,165
178,7
179,90
180,31
181,3
182,2
183,48
184,91
185,7
186,24
187,26
188,2
189,4
190,365
191,7
192,7
193,4
194,5
195,223
196,2
197,90
198,14
199,60
200,7
201,30
202,30
203,45
204,11
205,120
206,31
207,30
208,18
209,16
210,10
211,15
212,30
213,30
214,16
215,16
216,16
217,30
218,3
219,4
220,2
221,364
222,4
223,15
224,56
225,364
226,7
227,20
228,2
229,7
230,15
231,30
232,435
233,60
234,3
235,90
236,10
237,3
238,3
239,88
240,17
241,172
242,30
243,14
244,22
245,3
246,100
247,100
248,90
249,7
250,365
251,30
252,90
253,90
254,20
255,2
256,3
257,30
258,5
259,7
260,7
261,32
