date,value
1,5
2,09
3,71
4,0
5,5
6,1
7,25
8,1
9,6
10,10
11,1
12,1
13,5
14,1
15,5
16,1
17,5
18,45
19,45
20,8
21,20
22,5
23,1
24,4
25,16
26,1
27,45
28,180
29,12
30,5
31,0
32,5
33,1
34,0
35,5
36,1
37,10
38,1
39,1
40,125
41,1
42,5
43,2
44,8
45,5
46,5
47,45
48,1
49,5
50,1
51,6
52,53
53,1
54,45
55,1
56,1
57,5
58,0
59,1
60,25
61,2
62,1
63,45
64,8
65,8
66,45
67,1
68,1
69,45
70,1
71,1
72,1
73,4
74,2
75,3
76,1
77,5
78,09
79,40
80,45
81,1
82,90
83,25
84,5625
85,5
86,0
87,09
88,01
89,45
90,45
91,1
92,8
93,15
94,1
95,360
96,1
97,1
98,3
99,5
100,16
101,45
