date,value
1,3400
2,25000
3,1400
4,1000
5,16
6,2
7,20
8,1300
9,800
10,3
11,320
12,000
13,500
14,5
15,15
16,000
17,320
18,425
19,000
20,612
21,594
22,800
23,200
24,926
25,317
26,430
27,620
28,500
29,250
30,900
31,900
32,8
33,8
34,8
35,000
36,000
37,000
38,112
39,65
40,60
41,25
42,300
43,9
44,1
45,22
46,8
47,8
48,8
49,48
50,000
51,8
52,156
53,5
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,000
63,750
64,160
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,800
76,4
77,45
78,13
79,8
80,30
81,20
82,100
83,3
84,655
85,738
86,780
87,000
88,16
89,100
90,000
91,23
92,200
93,700
94,000
95,300
96,100
97,10
98,2
99,600
100,3
101,8874
102,38
103,8
104,8
105,132
106,173
107,000
108,50
109,40
110,300
111,80
112,30
113,000
114,500
115,8
116,8
117,8
118,8
119,10
120,000
121,307
122,12
123,9
124,15
125,60
126,630
127,8
128,5
129,8
130,8
131,310
132,260
133,8
134,8
135,295
136,98
137,000
138,8
139,8
140,8
141,8
142,8
143,000
144,8
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,18
155,500
156,100
157,13
158,788
159,000
160,40
161,400
162,20
163,150
164,798
165,2165
166,160
167,118
168,892
169,1315
170,3840
171,615
172,1270
173,1460
174,518
175,1280
176,2236
177,850
178,1200
179,1123
180,578
181,2220
182,132
183,137
184,161
185,450
186,1352
187,89
188,1003
189,29
190,342
191,525
192,105
193,608
194,1404
195,811
196,1062
197,1175
198,28
199,1950
200,108
201,2649
202,185
203,1020
204,571
205,2690
206,1675
207,2238
208,195
209,594
210,43
211,1421
212,789
213,294
214,288
215,2070
216,585
217,655
218,1330
219,175
220,1800
221,538
222,2680
223,3200
224,356
225,636
226,2100
227,1640
228,257
229,187
230,100
231,60
232,153
233,2850
234,711
235,213
236,800
237,317
238,1120
239,630
240,323
241,1466
242,830
243,2385
244,849
245,1400
246,380
247,2249
248,540
249,964
250,2050
251,109
252,898
253,17
254,4
255,580
256,725
257,1190
258,224
259,84
260,476
261,392
262,841
263,69
264,824
265,2380
266,765
267,1780
268,680
269,1026
270,1
271,1177
272,1912
273,203
274,260
275,1012
276,2658
277,13
278,298
279,8
280,158
281,758
282,640
283,46
284,1910
285,61
286,416
287,620
288,1396
289,862
290,130
291,1465
292,26
293,435
294,322
295,11
296,969
297,162
298,2160
299,428
300,635
301,65
302,825
303,19
304,622
305,670
306,1070
307,145
308,926
309,1076
310,644
311,75
312,3360
313,112
314,280
315,155
316,90
317,39
318,24
319,3464
320,2450
321,200
322,2875
323,592
324,1464
325,107
326,31
327,92
328,445
329,678
330,1320
331,2040
332,332
333,397
334,125
335,890
336,202
337,600
338,33
339,590
340,750
341,1152
342,468
343,30
344,589
345,124
346,1037
347,2192
348,910
349,1125
350,77
351,2500
352,617
353,215
354,21
355,219
356,242
357,6
358,169
359,5053
360,1425
361,2770
362,210
363,820
364,55
365,245
366,217
367,265
368,2151
369,80
370,728
371,10
372,2800
373,575
374,56
375,128
376,710
377,1220
378,623
379,545
380,486
381,760
382,167
383,565
384,2650
385,880
386,920
387,918
388,271
389,782
390,25
391,390
392,748
393,667
394,542
395,780
396,1775
397,177
398,660
399,220
400,960
401,1275
402,610
403,70
404,1850
405,875
406,262
407,144
408,123
409,420
410,930
411,840
412,2549
413,165
414,994
415,685
416,360
417,95
418,370
419,6240
420,315
421,45
422,639
423,552
424,495
425,759
426,236
427,1920
428,2810
429,751
430,300
431,451
432,12
433,9
434,337
435,270
436,147
437,624
438,225
439,1560
440,190
441,201
442,975
443,198
444,174
445,330
446,1659
447,1591
448,7
449,85
450,641
451,2200
452,1189
453,3080
454,38
455,900
456,808
457,1949
458,980
459,569
460,15
461,5300
462,797
463,962
464,501
465,3
466,775
467,314
468,68
469,1576
470,1143
471,480
472,950
473,126
474,1567
475,928
476,340
477,688
478,1470
479,1996
480,3770
481,595
482,2125
483,400
484,870
485,1915
486,371
487,500
488,41
489,3068
490,230
491,159
492,510
493,154
494,423
495,368
496,695
497,2357
498,310
499,308
500,730
501,350
502,1770
503,938
504,1375
505,741
506,1440
507,2360
508,14
509,121
510,2190
511,560
512,193
513,2103
514,679
515,50
516,512
517,168
518,418
519,700
520,2093
521,3355
522,96
523,2155
524,240
525,1310
526,995
527,1848
528,1594
529,229
530,550
531,180
532,20
533,290
534,23
535,1048
536,940
537,164
538,18
539,1145
540,140
541,103
542,233
543,1041
544,115
545,318
546,42
547,802
548,35
549,709
550,785
551,2225
552,5
553,1170
554,146
555,646
556,1390
557,98
558,810
559,805
560,520
561,250
562,49
563,354
564,1045
565,40
566,189
567,720
568,1493
569,32
570,740
571,1650
572,311
573,631
574,113
575,410
576,16
577,490
578,53
579,659
580,2110
581,675
582,530
583,285
584,176
585,1040
586,461
587,448
588,1230
589,2000
590,1022
591,1010
592,1733
593,110
594,917
595,1100
596,343
597,152
598,1160
599,120
600,689
601,63
602,818
603,22
604,440
605,943
606,258
607,208
608,0
609,2520
610,690
611,726
612,150
613,1162
614,320
615,2117
616,430
617,3
618,131
619,000
620,8
621,548
622,12
623,000
624,000
625,600
626,500
627,1
628,700
629,20
630,2
631,19
632,1
633,000
634,300
635,600
636,000
637,109
638,38
639,8
640,000
641,000
642,8
643,000
644,000
645,8
646,8
647,8
648,8
649,8
650,8
651,8
652,8
653,8
654,8
655,8
656,295
657,98
658,8
659,100
660,350
661,400
662,40
663,15
664,500
665,9
666,300
667,850
668,260
669,310
670,8
671,8
672,8
673,8
674,8
675,8
676,8
677,8
678,5
679,000
680,000
681,000
682,2
683,3
684,5
685,5
686,3
687,2
688,000
689,1000
690,000
691,5
692,100
693,8
694,200
695,000
696,500
697,000
698,900
699,150
700,1300
701,800
702,3
703,320
704,000
705,1
706,8
707,38
708,8
709,000
710,8
711,800
712,300
713,60
714,25
715,300
716,8
717,130
718,500
719,8
720,8
721,8
722,8
723,8
724,8
725,8
726,60
727,200
728,75
729,1
730,4
731,000
732,8
733,8
734,8
735,8
736,8
737,8
738,8
739,8
740,3
741,8
742,8
743,775
744,83
745,770
746,5
747,320
748,775
749,83
750,770
751,5
752,320
753,310
754,260
755,8
756,9
757,5
758,5
759,3
760,2
761,000
