date,value
1,9373
2,5676
3,3
4,5
5,750
6,4300
7,46
8,31
9,20
10,25
11,15
12,13
13,9
14,10
15,8
16,11
17,27
18,1
19,16
20,24
21,29
22,5
23,14
24,13
25,19
26,8
27,11
28,3
29,2
30,21
31,500
32,750
33,90
34,40
35,30
36,180
37,000
38,27
39,1
40,16
41,24
42,29
43,5
44,14
45,13
46,19
47,8
48,11
49,3
50,2
51,21
52,700
53,1
54,100
55,5
56,10
57,9
58,4
59,8
60,7
61,6
62,3
63,2
64,320
65,070
66,500
67,50
68,4000
69,80
70,9600
71,9600
72,2
73,4
74,217
75,000
76,800
77,500
78,400
79,820
80,75
81,30
