date,value
1,880
2,2
3,8
4,6
5,5
6,7
7,1
8,0
9,9
10,4
11,8
12,3
13,1
14,2
15,229
16,2
17,0
18,172
19,160
20,258
21,66
22,271
23,172
24,160
25,258
26,66
27,271
28,233
29,765
30,636
31,370
32,902
33,199
34,929
35,186
36,216
37,294
38,608
39,51
40,218
41,137
42,188
43,168
44,27
45,136
46,5
47,3
48,38
49,7
50,22
51,1
52,35
53,43
54,49
55,9
56,4
57,60
58,2
59,368
60,62
61,412
62,63
63,602
64,47
65,1
66,347
67,465
68,4466
69,1641
70,2200
71,1399
72,3348
73,3550
74,2549
75,2356
76,1009
77,1597
78,41
79,5
80,3
81,7
82,1
83,0
84,9
85,2
86,8
87,672
88,7
89,0
90,0
91,425
92,262
93,315
94,262
95,315
96,380
97,2
98,852
99,486
100,467
101,409
102,178
103,152
104,836
105,140
106,40
107,116
108,860
109,212
110,32
111,284
112,696
113,92
114,100
115,80
116,472
117,124
118,72
119,384
120,52
121,215
122,1687
123,700
124,64
125,84
126,266
127,215
128,103
129,104
130,28
131,268
132,121
133,524
134,40
135,931
136,712
137,403
138,56
139,502
140,149
141,670
142,36
143,472
144,544
145,184
146,150
147,260
148,75
149,183
150,79
151,350
152,962
153,730
154,800
155,7
156,2
157,5
158,2
159,0
160,1
161,5
162,2
163,0
164,184
165,64
166,24
167,755
168,412
169,105
170,108
171,371
172,423
173,549
174,799
175,244
176,79
177,0
178,266
179,91
180,103
181,22
182,24
183,786
184,44
185,51
186,117
187,139
188,140
189,877
190,42
191,236
192,93
193,119
194,39
195,29
196,289
197,3
198,195
199,36
200,1
201,956
202,16
203,62
204,212
205,46
206,4
207,41
208,97
209,14
210,30
211,10
212,123
213,83
214,9
215,148
216,38
217,92
218,789
219,37
220,398
221,271
222,6
223,50
224,5
225,26
226,522
227,222
228,95
229,388
230,187
231,49
232,878
233,188
234,54
235,2
236,787
237,8
238,6
239,5
240,70
241,3
242,253
243,7
244,1
245,9
246,180
247,28
248,23
249,870
250,693
251,368
252,62
253,412
254,63
255,602
256,47
257,3
258,172
259,59
260,140
261,14
262,452
263,6437
264,1748
265,1924
266,5999
267,2931
268,1560
269,5160
270,1009
271,10313
272,1371
273,4300
274,2159
275,2370
276,2236
277,1360
278,1813
279,3530
280,1893
281,10234
282,1469
283,2233
284,3808
285,2334
286,2388
287,5655
288,4043
289,5919
290,3494
291,4007
292,1399
293,2083
294,458
295,197
296,200
297,4
298,514
299,52
300,607
301,761
302,1
303,4
304,2
305,890
306,6
307,3
308,0
309,0
310,172
311,160
312,258
313,66
314,271
315,975
316,172
317,160
318,258
319,66
320,271
321,140
322,140
323,216
324,912
325,86
326,507
327,73
328,65
329,88
330,72
331,102
332,78
333,90
334,74
335,75
336,81
337,66
338,69
339,77
340,80
341,3779
342,2738
343,698
344,4
345,4286
346,6288
347,10150
348,6437
349,316
350,6
351,5
352,794
353,5
354,1
355,8
356,6
357,5
358,1
359,0
360,4
361,8
362,1
363,9
364,2
365,8
