date,value
1,35
2,35
3,20
4,9
5,10
6,50
7,25
8,200
9,70
10,100
11,370
12,250
13,100
14,6
15,2300
16,705
17,1
18,10
19,40
20,50
21,100
22,24
23,180
24,35
25,160
26,40
27,40
28,50
29,200
30,18
31,9
32,40
33,6000
34,200
35,200
36,200
37,200
38,200
39,200
40,200
41,234
42,171
43,600
44,200
45,10
46,100
47,14
48,1
49,250
50,350
51,4
52,20
53,10
54,50
55,2
56,4
57,25
58,1
59,000
60,70
61,50
62,982
63,5
64,2
65,10
66,1
67,1
68,50
69,25
70,40
71,35
72,30
73,20
74,610
75,37
76,33
77,70
78,300
79,1000
80,1250
81,18
82,600
83,350
84,24
85,48
86,13
87,740
88,1000
89,50
90,10
91,40
92,8
93,2400
94,4
95,1
96,118
97,39
98,12
99,0
100,62
101,89
102,40
103,1
104,1200
105,40
106,40
107,15
108,230
109,50
110,000
111,200
112,350
113,200
114,3
115,4
116,20
117,10
118,50
119,2
120,50
121,100
122,4
123,121
124,93
125,400
126,12
127,3
128,450
129,470
130,700
131,580
132,821
133,144
134,16
135,798
136,785
137,7
138,783
139,8
140,40
141,50
142,4
143,60
144,40
145,16
146,4
147,1
148,200
149,8
150,335
151,402
152,350
153,705
154,10
155,28
156,9
157,228
158,8
159,40
160,265
161,200
162,195
163,0
164,5
165,50
166,7625
167,200
168,50
169,259
170,200
171,100
172,1
173,1
174,90
175,1000
176,10
177,1
178,12
179,25
180,500
181,50
182,3
183,500
184,800
185,75
186,8
187,5
188,74
189,900
190,220
191,1300
192,3
193,5
194,300
195,6
196,645
197,1000
198,50
199,402
200,405
201,10
202,4
203,1
204,24
205,5
206,25
207,100
208,25
209,000
210,385
211,200
212,1000
213,2000
214,686
215,587
216,400
217,500
218,495
219,179
220,786
221,80
222,705
223,673
224,360
225,281
226,950
227,758
228,10
229,3
230,90
231,10
232,1
233,84
234,10
235,8
236,40
237,40
238,40
239,40
240,5
241,1
242,1000
243,130
244,2978
245,1400
246,500
247,200
248,2
249,400
250,3
251,36
252,9
253,10
254,40
255,1
256,360
257,257
258,224
259,40
260,10
261,600
262,5
263,3
264,10
265,1
266,1
267,1
268,3
269,18
270,10
271,100
272,600
273,1000
