date,value
1,7
2,2
3,3
4,1
5,7
6,6
7,8
8,1
9,3
10,4
11,2
12,7
13,4
14,80
15,3
16,1
17,0
18,9
19,8
20,1
21,5
22,5
23,0
24,81
25,10
26,9
27,10
28,32
29,26
30,4
31,15
32,1
33,7
34,12
35,2
36,21
37,5
38,37
39,6
40,14
41,8
42,1
43,88
44,68
45,41
46,58
47,925
48,300
49,850
50,200
51,700
52,500
53,38
54,13
55,9
56,2
57,18
58,5
59,3
60,1
61,4
62,09
63,6
64,18
65,5
66,2
67,500
68,54
69,50
70,50
71,28
72,2
73,3
74,8
75,5
76,9
77,89
78,4
79,56
80,21
81,7
82,9
83,6
84,2
85,4
86,0
87,3
88,5
89,1
90,7
91,6
92,2
93,0
94,3
95,5
96,4
97,5
98,24
99,4
100,25
101,5
102,1
103,2
104,2
105,2
106,5
107,4
108,5
109,14
110,101
111,110
112,45
113,330
114,5
115,38
116,62
117,500
118,500
119,38
120,5
121,37
122,101
123,1
124,104
125,4
126,6
127,04
128,1
129,03
130,73
131,05
132,01
133,06
134,20
135,50
136,02
137,04
138,37
139,4
140,5
141,10
142,9
143,5
144,50
145,4
146,3
147,22
148,7
149,2
150,82
151,1
152,6
153,8
154,2
155,4
156,6
157,7
158,12
159,30
160,5
161,24
162,7
163,13
164,46
165,6
166,01
167,18
168,3
169,8
170,11
171,37
172,8
173,7
174,88
175,256
176,5
177,13
178,38
179,34
180,84
181,61
182,48
183,91
184,50
185,1
186,005
187,9
188,6
189,2
190,52
191,21
192,5
193,7
194,9
195,6
196,2
197,4
198,3
199,8
200,7
201,9
202,6
203,2
204,4
205,0
206,3
207,5
208,1
209,7
210,3
211,8
212,618
213,84
214,29
215,24
216,40
217,105
218,7
219,850
220,500
221,9
222,5
223,65
224,55
225,140
226,66
227,4
228,3
229,20
230,416
231,167
232,11
233,2
234,6
235,1
236,6
237,2
238,101
239,27
240,56
241,17
242,14
243,76
244,13
245,9
246,2
247,18
248,5
249,3
250,1
251,33
252,7
253,10
254,6
255,12
256,3
257,5
258,1
259,3
260,25
261,71
262,2
263,14
264,2
265,500
266,7
267,12
268,30
269,5
270,24
271,7
272,8
273,1
274,60
275,83
276,50
277,3
278,43
279,59
280,6
281,870
282,1084
283,1013
284,1
285,1
286,6
287,2
288,4
289,5
290,8
291,1
292,85
293,5
294,6
295,2
296,6
297,1
298,0
299,6
300,7
301,9
302,2
303,4
304,3
305,1
306,5
307,5
308,2
309,10
310,1
311,60
312,5
313,2
314,7
315,1
316,89
317,2
318,6
319,7
320,2
321,2
322,16
323,84
324,99
325,5
326,75
327,1
328,4
329,9
330,19
331,3
332,3
333,15
334,1
335,2
336,4
337,19
338,3
339,101
340,60
341,9
342,6
343,8
344,1
345,8
346,46
347,18
348,45
349,7
350,9
351,6
352,2
353,4
354,5
355,500
356,53
357,50
358,78
