date,value
1,70
2,72
3,75
4,30
5,1
6,25
7,10
8,50
9,1
10,315
11,105
12,50
13,20
14,1
15,5
16,1
17,5
18,1
19,5
20,1
21,1
22,279
23,5
24,1
25,1
26,5
27,10
28,5
29,50
30,55
31,375
32,350
33,2
34,00
35,000
36,20
37,5
38,1
39,10
40,1
41,10
42,1
43,10
44,1
45,5
46,5
47,5
48,00
49,100
50,5
51,10
52,5
53,1
54,10
55,5
56,88
57,10
58,18
59,54
60,19
61,91
62,000
63,713
64,000
65,000
66,000
67,6
68,2
69,2
70,6
71,000
72,2
73,20
74,10
75,5
76,5
77,5
78,5
79,5
80,1
81,17
82,2
83,10
84,00
85,3
86,1
87,5
88,5
89,1
90,1
91,5
92,10
93,5
94,1
95,5
96,5
97,1
98,1
99,10
100,1
101,5
102,1
103,5
104,88
105,18
106,42
107,10
108,53
109,110
110,120
111,2
112,100
113,25
114,75
115,40
116,13
117,5
118,115
119,20
120,10
121,42
122,500
123,45
124,35
125,60
126,000
127,2
128,6
129,2
130,40
131,1
132,5
133,1
134,5
135,1
136,1
137,5
138,5
139,5
140,5
141,1
142,20
143,5
144,1
145,00
146,20
147,1
148,5
149,1
150,5
151,10
152,1
153,10
154,5
155,1
156,20
157,10
158,12
159,1
160,1
