date,value
1,2
2,1
3,37
4,30
5,1
6,11
7,15
8,14
9,1
10,2
11,10
12,5
13,30
14,30
15,2014
16,75
17,10
18,10
19,30
20,160
21,10
22,8
23,30
24,1
25,2013
26,000
27,10
28,5
29,40
30,1
31,5
32,2014
33,2010
34,30
35,111
36,36
37,100
38,30
39,100
40,10
41,25
42,30
43,000
44,30
45,3
46,1
47,9
48,5
49,2
50,1
51,120
52,5
53,20
54,135
55,2014
56,2
57,1
58,50
59,5
60,10
61,10
62,30
63,10
64,5
65,30
66,60
67,11
68,100
69,700
70,30
71,600
72,30
73,160
74,117
75,5
76,25
77,16
78,30
79,50
80,30
81,10
82,1
83,12
84,2
85,1
86,17
87,28
88,35
89,8
90,10
91,2014
92,30
93,000
94,11
95,5
96,10
97,5
98,8
99,10
100,2012
101,25
102,30
