date,value
1,1
2,5
3,1
4,5
5,1
6,5
7,1
8,1
9,5
10,1
11,1
12,5
13,10
14,5
15,20
16,5
17,1
18,10
19,1
20,10
21,1
22,10
23,1
24,5
25,5
26,5
27,5
28,10
29,5
30,1
31,10
32,5
33,20
34,10
35,5
36,5
37,5
38,5
39,5
40,1
41,1
42,5
43,5
44,1
45,1
46,5
47,10
48,5
49,1
50,5
51,5
52,1
53,1
54,10
55,1
56,5
57,1
58,5
59,1
60,5
61,1
62,5
63,1
64,1
65,5
66,5
67,5
68,5
69,1
70,20
71,5
72,1
73,1
74,5
75,1
76,5
77,10
78,1
79,10
80,5
81,1
82,20
83,10
84,1
85,1
