date,value
1,80
2,80
3,127
4,50
5,23
6,23
7,89
8,89
9,51
10,189
11,606
12,779
13,144
14,165
15,754
16,371
17,153
18,171
19,160
20,162
21,158
22,142
23,127
24,148
25,156
26,782
27,665
28,733
29,586
30,504
31,914
32,779
33,144
34,165
35,754
36,371
37,153
38,171
39,160
40,162
41,158
42,142
43,127
44,148
45,156
46,606
47,606
48,23
49,51
50,189
51,119
52,114
53,189
54,140
55,240
56,645
57,853
58,22
59,433
60,354
61,301
62,209
63,215
64,449
65,731
66,715
67,377
68,230
69,601
70,343
71,435
72,358
73,607
74,232
75,348
76,710
77,521
78,376
79,307
80,341
81,420
82,267
83,739
84,528
85,469
86,413
87,876
88,769
89,29
90,22
91,504
92,446
93,616
94,30
95,917
96,140
97,97
98,189
99,51
100,119
101,114
102,127
103,50
104,97
