date,value
1,354
2,235
3,124
4,255
5,204
6,254
7,304
8,195
9,64
10,114
11,355
12,45
13,65
14,105
15,154
16,264
17,194
18,234
19,54
20,224
21,285
22,335
23,184
24,55
25,34
26,15
27,185
28,175
29,205
30,25
31,315
32,214
33,344
34,14
35,94
36,245
37,155
38,284
39,144
40,294
41,145
42,324
43,5
44,74
45,35
46,295
47,115
48,325
49,265
50,334
51,314
52,165
53,104
54,225
55,135
56,305
57,84
58,85
59,134
60,95
61,275
62,164
63,4
64,174
65,24
66,274
67,44
68,345
69,215
70,125
71,75
72,244
73,354
74,235
75,124
76,255
77,204
78,254
79,304
80,195
81,64
82,114
83,355
84,45
85,65
86,105
87,154
88,264
89,194
90,234
91,54
92,224
93,285
94,335
95,184
96,55
97,34
98,15
99,185
100,175
101,205
102,25
103,315
104,214
105,344
106,14
107,94
108,245
109,155
110,284
111,144
112,294
113,145
114,324
115,5
116,74
117,35
118,295
119,115
120,325
121,265
122,334
123,314
124,165
125,104
126,225
127,135
128,305
129,84
130,85
131,134
132,95
133,275
134,164
135,4
136,174
137,24
138,274
139,44
140,345
141,215
142,125
143,75
144,244
145,90
146,90
147,80
148,26
