date,value
1,400
2,702
3,500
4,880
5,2
6,8
7,6
8,5
9,7
10,1
11,0
12,9
13,4
14,8
15,64
16,23
17,62
18,49
19,3
20,1
21,2
22,229
23,2
24,0
25,172
26,160
27,258
28,66
29,271
30,172
31,160
32,258
33,66
34,271
35,233
36,765
37,636
38,370
39,902
40,199
41,929
42,186
43,216
44,294
45,608
46,3217
47,3217
48,51
49,218
50,3217
51,3217
52,3217
53,3217
54,3217
55,3217
56,3217
57,3217
58,137
59,188
60,168
61,27
62,136
63,5
64,3
65,38
66,7
67,22
68,1
69,35
70,43
71,49
72,9
73,4
74,60
75,2
76,368
77,62
78,412
79,63
80,602
81,47
82,1
83,347
84,465
85,4466
86,1641
87,2200
88,1399
89,3348
90,3550
91,2549
92,2356
93,1009
94,355
95,1597
96,80
97,80
98,127
99,50
100,23
101,23
102,89
103,41
104,5
105,3
106,7
107,1
108,0
109,9
110,2
111,8
112,672
113,7
114,9
115,1
116,810
117,0
118,0
119,425
120,439
121,439
122,262
123,315
124,262
125,315
126,3217
127,3217
128,3217
129,3217
130,3217
131,3217
132,380
133,2
134,438
135,140
136,478
137,548
138,852
139,486
140,467
141,409
142,178
143,152
144,836
145,140
146,40
147,116
148,860
149,212
150,32
151,284
152,696
153,92
154,100
155,80
156,472
157,124
158,72
159,384
160,52
161,215
162,1687
163,700
164,64
165,84
166,266
167,215
168,103
169,104
170,28
171,268
172,121
173,524
174,40
175,931
176,712
177,403
178,56
179,502
180,149
181,670
182,36
183,472
184,544
185,184
186,150
187,260
188,75
189,183
190,79
191,350
192,962
193,730
194,800
195,4
196,408
197,385
198,401
199,387
200,384
201,5908
202,2968
203,1512
204,645
205,3216
206,3506
207,394
208,5164
209,5904
210,89
211,51
212,189
213,606
214,779
215,144
216,165
217,754
218,371
219,153
220,171
221,160
222,162
223,158
224,142
225,127
226,148
227,156
228,7
229,2
230,5
231,2
232,0
233,1
234,5
235,2
236,970
237,756
238,0
239,184
240,64
241,24
242,755
243,412
244,105
245,108
246,371
247,423
248,549
249,799
250,244
251,3217
252,3217
253,3217
254,3217
255,3217
256,79
257,0
258,266
259,91
260,103
261,22
262,24
263,786
264,44
265,51
266,117
267,139
268,140
269,877
270,42
271,236
272,93
273,119
274,39
275,29
276,289
277,3
278,195
279,36
280,1
281,956
282,16
283,62
284,212
285,46
286,4
287,41
288,97
289,14
290,30
291,10
292,123
293,83
294,9
295,148
296,38
297,92
298,789
299,37
300,398
301,271
302,6
303,50
304,5
305,26
306,522
307,222
308,95
309,388
310,187
311,49
312,878
313,188
314,54
315,2
316,787
317,8
318,6
319,5
320,70
321,3
322,253
323,7
324,1
325,9
326,180
327,28
328,23
329,870
330,693
331,368
332,62
333,412
334,63
335,602
336,47
337,3
338,172
339,59
340,140
341,14
342,452
343,050
344,6437
345,1748
346,1924
347,5999
348,2931
349,1560
350,5160
351,1009
352,10313
353,1371
354,4300
355,2159
356,2370
357,2236
358,1360
359,1813
360,3530
361,1893
362,10234
363,1469
364,2233
365,3808
366,2334
367,2388
368,5655
369,4043
370,5919
371,3494
372,4007
373,1399
374,2083
375,458
376,197
377,200
378,782
379,665
380,733
381,586
382,504
383,914
384,779
385,144
386,165
387,754
388,371
389,153
390,171
391,160
392,162
393,158
394,142
395,127
396,148
397,156
398,606
399,606
400,23
401,51
402,189
403,119
404,114
405,189
406,4
407,140
408,514
409,52
410,121
411,607
412,761
413,5
414,1
415,4
416,2
417,890
418,6
419,3
420,710
421,0
422,0
423,172
424,160
425,258
426,66
427,271
428,975
429,172
430,160
431,258
432,66
433,271
434,728
435,140
436,140
437,216
438,912
439,256
440,79
441,352
442,68
443,26
444,103
445,86
446,48
447,44
448,230
449,40
450,19
451,112
452,46
453,60
454,41
455,86
456,507
457,3217
458,3217
459,3217
460,3217
461,3217
462,548
463,220
464,190
465,750
466,650
467,240
468,880
469,292
470,50
471,546
472,45
473,562
474,252
475,104
476,855
477,59
478,69
479,73
480,65
481,88
482,72
483,102
484,78
485,90
486,74
487,75
488,81
489,66
490,69
491,77
492,80
493,3779
494,2738
495,63
496,698
497,4
498,4286
499,6288
500,10150
501,6437
502,316
503,276
504,151
505,224
506,240
507,645
508,853
509,22
510,433
511,354
512,301
513,209
514,215
515,449
516,731
517,715
518,377
519,230
520,601
521,343
522,435
523,358
524,607
525,232
526,348
527,710
528,521
529,376
530,307
531,341
532,420
533,267
534,739
535,528
536,469
537,413
538,876
539,769
540,29
541,22
542,504
543,446
544,616
545,30
546,917
547,140
548,97
549,189
550,51
551,6
552,5
553,119
554,114
555,127
556,50
557,794
558,97
559,5
560,1
561,8
562,6
563,5
564,1
565,0
566,4
567,8
568,1
569,9
570,2
571,8
572,170
573,110
574,184
575,342
576,106
577,274
578,171
579,150
580,160
581,261
582,246
583,112
584,121
