date,value
1,7
2,30
3,30
4,180
5,30
6,3
7,7
8,3
9,7
10,3
11,7
12,15
13,8
14,10
15,14
16,10
17,7
18,90
19,8
20,14
21,10
22,7
23,14
24,10
25,3
26,7
27,1
28,14
29,15
30,40
31,40
32,488
33,1
34,8
35,10
36,1
37,1
38,5
39,3
40,7
41,1
42,1
43,2
44,10
45,14
46,10
47,10
48,5
49,60
50,1
51,31
52,3
53,1
54,1
55,3
56,7
57,90
58,16
59,10
60,1
61,30
62,190924
63,190544
64,5
65,40
66,40
67,40
68,90
69,30
70,10
71,14
72,90
73,7
74,10
75,1
76,30
77,5
78,30
79,1
80,40
