date,value
1,16
2,220
3,18
4,9
5,320
6,9
7,64
8,3
9,5
10,130
11,50
12,200
13,20
14,78
15,166
16,1
17,78
18,78
19,166
20,4
21,90
22,15
23,8
24,30
25,12
26,36
27,9
28,45
29,5
30,10
31,45
32,90
33,2
34,3
35,30
36,30
37,5
38,10
39,60
40,20
41,1
42,30
43,90
44,30
45,30
46,30
47,110
48,26
49,30
50,30
51,30
52,30
53,30
54,30
55,30
56,30
57,354
58,235
59,124
60,255
61,204
62,254
63,304
64,195
65,64
66,114
67,355
68,45
69,65
70,105
71,154
72,264
73,194
74,234
75,54
76,224
77,285
78,335
79,184
80,55
81,34
82,15
83,185
84,175
85,205
86,25
87,315
88,214
89,344
90,14
91,94
92,245
93,155
94,284
95,144
96,294
97,145
98,324
99,5
100,74
101,35
102,295
103,115
104,325
105,265
106,334
107,314
108,165
109,104
110,225
111,135
112,305
113,84
114,85
115,134
116,95
117,275
118,164
119,4
120,174
121,24
122,274
123,44
124,345
125,215
126,125
127,75
128,244
129,30
130,30
131,30
132,30
133,30
134,30
135,30
136,30
137,30
138,30
139,18
140,180
141,2
142,8
143,5
144,6
145,13
146,46
147,60
148,30
149,90
150,10
151,100
152,180
153,67
154,15
155,432
156,385
157,420
158,270
159,500
160,39
161,100
162,300
163,350
164,212
165,180
166,180
167,0
168,78
169,166
170,360
171,30
172,45
173,30
174,5
175,30
176,30
177,0
178,25
179,13
180,30
181,30
182,30
183,30
184,30
185,30
186,30
187,30
188,30
189,30
190,30
191,30
192,30
193,19
194,35
195,55
196,80
197,000
198,354
199,235
200,124
201,255
202,204
203,254
204,304
205,195
206,64
207,114
208,355
209,45
210,65
211,105
212,154
213,264
214,194
215,234
216,54
217,224
218,285
219,335
220,184
221,55
222,34
223,15
224,185
225,175
226,205
227,25
228,315
229,214
230,344
231,14
232,94
233,245
234,155
235,284
236,144
237,294
238,145
239,324
240,5
241,74
242,35
243,295
244,115
245,325
246,265
247,334
248,314
249,165
250,104
251,225
252,135
253,305
254,84
255,85
256,134
257,95
258,275
259,164
260,4
261,174
262,24
263,274
264,44
265,345
266,215
267,125
268,75
269,244
270,90
271,45
272,55
273,230
274,60
275,70
276,30
277,30
278,30
279,30
280,30
281,30
282,30
283,30
284,30
285,30
286,5
287,15
288,6
289,10
290,22
291,18
292,4
293,5
294,108
295,268
296,450
297,5
298,90
299,4
300,2
301,18
302,10
303,60
304,703125
305,125
306,8
307,7
308,4
309,45
310,196
311,50
312,4
313,8
314,7
315,180
316,1
317,15
318,59
319,3
320,4
321,9
322,10
323,703125
324,125
325,56
326,58
327,5
328,008333333333333
329,60
330,8
331,45
332,56
333,57
334,144
335,171
336,45
337,55
338,180
339,56
340,57
341,144
342,171
343,45
344,55
345,180
346,20
347,3
348,30
349,90
350,30
351,30
352,30
353,3
354,47
355,30
356,30
357,30
358,30
359,30
360,30
361,30
362,30
363,30
364,60
365,2
366,2
367,90
368,30
369,30
370,30
371,30
372,30
373,30
374,30
375,30
376,90
377,15
378,87
379,51
380,65
381,30
382,3
383,240
384,1000
385,6
386,3
387,2
388,7
389,10
390,3
391,2
392,65
393,000
394,5
395,6
396,2
397,10
398,2
399,5
400,136
401,6000
402,273
403,15
404,25
405,32
406,0
407,127
408,100
409,18
410,212
411,10
412,30
413,65
414,2
415,56
416,129
417,25
418,760
419,400
420,40
421,5800
422,3
423,90
424,40
425,30
426,88
427,70
428,20
429,20
430,4
431,70
432,20
433,130
434,50
435,200
436,6
437,30
438,8
439,7
440,4
441,3
442,20
443,45
444,45
445,30
446,45
447,2
448,90
449,90
450,20
451,12
452,30
453,65
454,57
455,30
456,30
457,25
458,30
459,30
460,30
461,30
462,30
463,90
464,360
465,80
466,26
467,30
468,30
469,30
470,30
471,30
472,30
473,30
474,30
475,30
476,30
477,30
478,3
479,10
480,5
481,29
482,5
483,0
484,100
485,5
