date,value
1,8
2,8
3,943
4,8
5,48
6,000
7,8
8,156
9,5
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,8
32,10
33,000
34,307
35,12
36,9
37,15
38,60
39,630
40,8
41,5
42,8
43,8
44,310
45,260
46,8
47,8
48,000
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,8
74,8
75,8
76,260
77,310
78,8
79,8
80,8
81,8
82,8
83,8
84,8
85,8
86,8
87,130
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
102,8
103,3
104,8
105,8
106,000
107,310
108,260
109,8
