date,value
1,798
2,2165
3,160
4,118
5,892
6,1315
7,3840
8,615
9,1270
10,1460
11,518
12,1280
13,2236
14,850
15,1200
16,1123
17,578
18,2220
19,132
20,137
21,161
22,450
23,1352
24,89
25,1003
26,29
27,342
28,525
29,105
30,608
31,1404
32,811
33,1062
34,1175
35,28
36,1950
37,108
38,2649
39,185
40,1020
41,571
42,2690
43,1675
44,2238
45,195
46,594
47,43
48,1421
49,789
50,294
51,288
52,2070
53,585
54,655
55,1330
56,175
57,1800
58,538
59,2680
60,3200
61,356
62,636
63,2100
64,1640
65,257
66,187
67,100
68,60
69,153
70,2850
71,711
72,213
73,800
74,317
75,1120
76,630
77,323
78,1466
79,830
80,2385
81,849
82,1400
83,380
84,2249
85,540
86,964
87,2050
88,109
89,898
90,17
91,4
92,580
93,725
94,1190
95,224
96,84
97,476
98,392
99,841
100,69
101,824
102,2380
103,765
104,1780
105,680
106,1026
107,1
108,1177
109,1912
110,203
111,260
112,1012
113,2658
114,13
115,298
116,8
117,158
118,758
119,640
120,46
121,1910
122,61
123,416
124,620
125,1396
126,862
127,130
128,1465
129,26
130,435
131,322
132,11
133,969
134,162
135,2160
136,428
137,635
138,65
139,825
140,19
141,622
142,670
143,1070
144,145
145,926
146,1076
147,644
148,75
149,3360
150,112
151,280
152,155
153,90
154,39
155,24
156,3464
157,2450
158,200
159,2875
160,592
161,1464
162,107
163,31
164,92
165,445
166,678
167,1320
168,2040
169,332
170,397
171,125
172,890
173,202
174,600
175,33
176,590
177,750
178,1152
179,468
180,30
181,589
182,124
183,1037
184,2192
185,910
186,1125
187,77
188,2500
189,617
190,215
191,21
192,219
193,242
194,6
195,169
196,5053
197,1425
198,2770
199,210
200,820
201,55
202,245
203,217
204,265
205,2151
206,80
207,728
208,10
209,2800
210,575
211,56
212,128
213,710
214,1220
215,623
216,545
217,486
218,760
219,167
220,565
221,2650
222,880
223,920
224,918
225,271
226,782
227,25
228,390
229,748
230,667
231,542
232,780
233,1775
234,177
235,660
236,220
237,960
238,1275
239,610
240,70
241,1850
242,875
243,262
244,144
245,123
246,420
247,930
248,840
249,2549
250,165
251,994
252,685
253,360
254,95
255,370
256,6240
257,315
258,45
259,639
260,552
261,495
262,759
263,236
264,1920
265,2810
266,751
267,300
268,451
269,12
270,9
271,337
272,270
273,147
274,624
275,225
276,1560
277,190
278,201
279,975
280,198
281,174
282,330
283,1659
284,1591
285,7
286,85
287,641
288,2200
289,1189
290,3080
291,38
292,900
293,808
294,1949
295,980
296,569
297,15
298,5300
299,797
300,962
301,501
302,3
303,775
304,314
305,68
306,1576
307,1143
308,480
309,950
310,126
311,1567
312,928
313,340
314,688
315,1470
316,1996
317,3770
318,595
319,2125
320,400
321,870
322,1915
323,371
324,500
325,41
326,3068
327,230
328,159
329,510
330,154
331,423
332,368
333,695
334,2357
335,310
336,308
337,730
338,350
339,1770
340,938
341,1375
342,741
343,1440
344,2360
345,14
346,121
347,2190
348,560
349,193
350,2103
351,679
352,50
353,512
354,168
355,418
356,700
357,2093
358,3355
359,96
360,2155
361,240
362,1310
363,995
364,1848
365,1594
366,229
367,550
368,180
369,20
370,290
371,23
372,1048
373,940
374,164
375,18
376,1145
377,140
378,103
379,233
380,1041
381,115
382,318
383,42
384,802
385,35
386,709
387,785
388,2225
389,5
390,1170
391,146
392,646
393,1390
394,98
395,810
396,805
397,520
398,250
399,49
400,354
401,1045
402,40
403,189
404,720
405,1493
406,32
407,740
408,1650
409,311
410,631
411,113
412,410
413,16
414,490
415,53
416,659
417,2110
418,675
419,530
420,285
421,176
422,1040
423,461
424,448
425,1230
426,2000
427,1022
428,1010
429,1733
430,110
431,917
432,1100
433,343
434,152
435,1160
436,120
437,689
438,63
439,818
440,22
441,440
442,943
443,258
444,208
445,0
446,2520
447,690
448,726
449,150
450,1162
451,320
452,2117
453,430
454,3
