date,value
1,11
2,56
3,5
4,33
5,17
6,12
7,15
8,60
9,4
10,70
11,6
12,80
13,16
14,0
15,3
16,2
17,67
18,9
19,40
20,8
21,22
22,44
23,7
24,28
25,20
26,00
27,10
28,1
29,30
30,05
31,50
32,56
33,5
34,34
35,17
36,90
37,37
38,53
39,60
40,4
41,6
42,80
43,0
44,3
45,2
46,9
47,40
48,8
49,22
50,33
51,7
52,20
53,67
54,51
55,10
56,1
57,11
58,56
59,5
60,33
61,17
62,12
63,15
64,60
65,4
66,70
67,6
68,80
69,16
70,0
71,3
72,2
73,67
74,9
75,40
76,8
77,22
78,44
79,7
80,28
81,20
82,00
83,10
84,1
