date	close
1-May-12	23
24-Apr-12	22
23-Apr-12	19
20-Apr-12	14
9-Apr-12	12
5-Apr-12	15
4-Apr-12	17
27-Mar-12	16
23-Mar-12	20
16-Mar-12	15
6-Mar-12	13
5-Mar-12	12
27-Feb-12	15
24-Feb-12	14
23-Feb-12	15
16-Feb-12	18
15-Feb-12	20
7-Feb-12	21
6-Feb-12	19
31-Jan-12	18
30-Jan-12	16
27-Jan-12	15
18-Jan-12	13
27-Dec-11	14
23-Dec-11	17
22-Dec-11	16
28-Nov-11	14
25-Nov-11	12
23-Nov-11	11
15-Nov-11	10
14-Nov-11	11
10-Nov-11	12
1-Nov-11	12
31-Oct-11	11
28-Oct-11	10
7-Oct-11	11
21-Sep-11	9
20-Sep-11	11
7-Sep-11	12
6-Sep-11	10
2-Sep-11	10
1-Sep-11	12
24-Aug-11	13
11-Aug-11	13
9-Aug-11	12
29-Jul-11	14
27-Jul-11	16
19-Jul-11	17
6-Jul-11	14
27-Jun-11	13
24-Jun-11	11
13-Jun-11	10
10-Jun-11	12
9-Jun-11	14
8-Jun-11	13
1-Jun-11	14
31-May-11	15
19-May-11	13
18-May-11	11
9-May-11	10
5-May-11	12
25-Apr-11	10
21-Apr-11	9
12-Apr-11	7
11-Apr-11	12
8-Apr-11	15
30-Mar-11	13
29-Mar-11	14
28-Mar-11	16
25-Mar-11	16
1-Mar-11	16
28-Feb-11	14
25-Feb-11	15
24-Feb-11	13
15-Feb-11	11
14-Feb-11	10
11-Feb-11	9
25-Jan-11	7
18-Jan-11	6
