id,order,score,weight,color,label
app,1.1,40,1,#9E0041,application/pdf
img,1.3,41,1,#C32F4B,image/png
vid,2,39,1,#E1514B,video/quicktime
aud,3,52,1,#F47245,audio/mpeg
mpeg,4,45,1,#FB9F59,image/jpeg
app,5,38,1,#FEC574,application/mp4
rss,6,51,1,#FAE38C,application/rss+xml
text,7.1,43,1,#EAF195,text/html
octet,7.3,37,1,#C7E89E,application/octet-stream
textplain,8.1,4,1,#9CD6A4,text/plain
xml,8.3,38,1,#6CC4A4,application/xml
video,9,13,1,#4D9DB4,video/mp4
msword,10.1,5,1,#4776B4,application/msword
xhtml,10.3,48,1,#5E4EA1,application/xhtml+xml
gif,10.5,42,1,#FFFF00,image/gif
