mimetype,range,values,,,
mp4,0-0.1,58,,,
mp4,0.1-0.2,39,,,
mp4,0.2-0.3,61,,,
mp4,0.3-0.4,67,,,
mp4,0.4-0.5,72,,,
mp4,0.5-0.6,81,,,
mp4,0.6-0.7,38,,,
mp4,0.7-0.8,45,,,
mp4,0.8-0.9,44,,,
mp4,0.9-1,12,,,
msword,0-0.1,26,,,
msword,0.1-0.2,27,,,
msword,0.2-0.3,24,,,
msword,0.3-0.4,107,,,
msword,0.4-0.5,68,,,
msword,0.5-0.6,145,,,
msword,0.6-0.7,65,,,
msword,0.7-0.8,75,,,
msword,0.8-0.9,37,,,
msword,0.9-1,23,,,
octet-stream,0-0.1,45,,,
octet-stream,0.1-0.2,38,,,
octet-stream,0.2-0.3,55,,,
octet-stream,0.3-0.4,27,,,
octet-stream,0.4-0.5,40,,,
octet-stream,0.5-0.6,58,,,
octet-stream,0.6-0.7,45,,,
octet-stream,0.7-0.8,29,,,
octet-stream,0.8-0.9,17,,,
octet-stream,0.9-1,2,,,
pdf,0-0.1,100,,,
pdf,0.1-0.2,80,,,
pdf,0.2-0.3,30,,,
pdf,0.3-0.4,14,,,
pdf,0.4-0.5,21,,,
pdf,0.5-0.6,11,,,
pdf,0.6-0.7,21,,,
pdf,0.7-0.8,35,,,
pdf,0.8-0.9,15,,,
pdf,0.9-1,6,,,
rss+xml,0-0.1,100,,,
rss+xml,0.1-0.2,56,,,
rss+xml,0.2-0.3,69,,,
rss+xml,0.3-0.4,19,,,
rss+xml,0.4-0.5,78,,,
rss+xml,0.5-0.6,39,,,
rss+xml,0.6-0.7,25,,,
rss+xml,0.7-0.8,63,,,
rss+xml,0.8-0.9,31,,,
rss+xml,0.9-1,26,,,
xhtml+xml,0-0.1,95,,,
xhtml+xml,0.1-0.2,86,,,
xhtml+xml,0.2-0.3,85,,,
xhtml+xml,0.3-0.4,99,,,
xhtml+xml,0.4-0.5,56,,,
xhtml+xml,0.5-0.6,90,,,
xhtml+xml,0.6-0.7,89,,,
xhtml+xml,0.7-0.8,67,,,
xhtml+xml,0.8-0.9,47,,,
xhtml+xml,0.9-1,13,,,
xml,0-0.1,55,,,
xml,0.1-0.2,07,,,
xml,0.2-0.3,89,,,
xml,0.3-0.4,84,,,
xml,0.4-0.5,19,,,
xml,0.5-0.6,41,,,
xml,0.6-0.7,80,,,
xml,0.7-0.8,28,,,
xml,0.8-0.9,67,,,
xml,0.9-1,32,,,
audio/mpeg,0-0.1,67,,,
audio/mpeg,0.1-0.2,98,,,
audio/mpeg,0.2-0.3,29,,,
audio/mpeg,0.3-0.4,54,,,
audio/mpeg,0.4-0.5,12,,,
audio/mpeg,0.5-0.6,67,,,
audio/mpeg,0.6-0.7,89,,,
audio/mpeg,0.7-0.8,93,,,
audio/mpeg,0.8-0.9,12,,,
audio/mpeg,0.9-1,6,,,
gif,0-0.1,78,,,
gif,0.1-0.2,70,,,
gif,0.2-0.3,77,,,
gif,0.3-0.4,46,,,
gif,0.4-0.5,09,,,
gif,0.5-0.6,18,,,
gif,0.6-0.7,67,,,
gif,0.7-0.8,07,,,
gif,0.8-0.9,42,,,
gif,0.9-1,17,,,
jpeg,0-0.1,64,,,
jpeg,0.1-0.2,75,,,
jpeg,0.2-0.3,87,,,
jpeg,0.3-0.4,90,,,
jpeg,0.4-0.5,67,,,
jpeg,0.5-0.6,37,,,
jpeg,0.6-0.7,76,,,
jpeg,0.7-0.8,78,,,
jpeg,0.8-0.9,22,,,
jpeg,0.9-1,86,,,
png,0-0.1,97,,,
png,0.1-0.2,62,,,
png,0.2-0.3,49,,,
png,0.3-0.4,34,,,
png,0.4-0.5,98,,,
png,0.5-0.6,56,,,
png,0.6-0.7,34,,,
png,0.7-0.8,78,,,
png,0.8-0.9,12,,,
png,0.9-1,87,,,
plain,0-0.1,78,,,
plain,0.1-0.2,58,,,
plain,0.2-0.3,46,,,
plain,0.3-0.4,94,,,
plain,0.4-0.5,74,,,
plain,0.5-0.6,68,,,
plain,0.6-0.7,98,,,
plain,0.7-0.8,63,,,
plain,0.8-0.9,85,,,
plain,0.9-1,34,,,
mp3,0-0.1,67,,,
mp3,0.1-0.2,34,,,
mp3,0.2-0.3,23,,,
mp3,0.3-0.4,67,,,
mp3,0.4-0.5,88,,,
mp3,0.5-0.6,56,,,
mp3,0.6-0.7,87,,,
mp3,0.7-0.8,78,,,
mp3,0.8-0.9,98,,,
mp3,0.9-1,21,,,
quicktime,0-0.1,2,,,
quicktime,0.1-0.2,5,,,
quicktime,0.2-0.3,12,,,
quicktime,0.3-0.4,23,,,
quicktime,0.4-0.5,46,,,
quicktime,0.5-0.6,54,,,
quicktime,0.6-0.7,8,,,
quicktime,0.7-0.8,12,,,
quicktime,0.8-0.9,76,,,
quicktime,0.9-1,89,,,
